Links,Scraped
https://docs.sqlalchemy.org/en/20/orm/scalar_mapping.html,True
https://docs.sqlalchemy.org/en/20/orm/queryguide/index.html,True
https://docs.sqlalchemy.org/en/20/orm/extensions/asyncio.html,True
https://docs.sqlalchemy.org/en/20/changelog/changelog_20.html,True
https://docs.sqlalchemy.org/en/20/orm/declarative_tables.html,True
https://docs.sqlalchemy.org/en/20/changelog/migration_06.html,True
https://docs.sqlalchemy.org/en/20/core/schema.html,True
https://docs.sqlalchemy.org/en/20/orm/events.html,True
https://docs.sqlalchemy.org/en/20/orm/queryguide/api.html,True
https://docs.sqlalchemy.org/en/20/changelog/index.html,True
https://docs.sqlalchemy.org/en/20/orm/declarative_mapping.html,True
https://docs.sqlalchemy.org/en/20/core/ddl.html,True
https://docs.sqlalchemy.org/en/20/orm/extensions/instrumentation.html,True
https://docs.sqlalchemy.org/en/20/orm/queryguide/_single_inheritance.html,True
https://docs.sqlalchemy.org/en/20/orm/extensions/orderinglist.html,True
https://docs.sqlalchemy.org/en/20/changelog/migration_09.html,True
https://docs.sqlalchemy.org/en/20/changelog/changelog_03.html,True
https://docs.sqlalchemy.org/en/20/orm/session_basics.html,True
https://docs.sqlalchemy.org/en/20/orm/declarative_config.html,True
https://docs.sqlalchemy.org/en/20/orm/basic_relationships.html,True
https://docs.sqlalchemy.org/en/20/orm/extensions/mypy.html,True
https://docs.sqlalchemy.org/en/20/core/custom_types.html,True
https://docs.sqlalchemy.org/en/20/tutorial/data.html,True
https://docs.sqlalchemy.org/en/20/changelog/changelog_08.html,True
https://docs.sqlalchemy.org/en/20/core/type_api.html,True
https://docs.sqlalchemy.org/en/20/core/visitors.html,True
https://docs.sqlalchemy.org/en/20/changelog/migration_14.html,True
https://docs.sqlalchemy.org/en/20/orm/relationship_persistence.html,True
https://docs.sqlalchemy.org/en/20/index.html,True
https://docs.sqlalchemy.org/en/20/orm/queryguide/columns.html,True
https://docs.sqlalchemy.org/en/20/orm/queryguide/inheritance.html,True
